iter	Passed	Remaining
0	77	77155
1	172	85922
2	257	85500
3	348	86741
4	422	84000
5	507	84039
6	562	79849
7	635	78759
8	722	79565
9	810	80247
10	899	80879
11	1009	83091
12	1107	84072
13	1192	83964
14	1277	83897
15	1360	83683
16	1448	83750
17	1532	83585
18	1596	82407
19	1691	82905
20	1797	83806
21	1902	84575
22	1993	84659
23	2085	84796
24	2160	84265
25	2219	83150
26	2348	84640
27	2415	83846
28	2495	83547
29	2566	82990
30	2680	83780
31	2767	83711
32	2857	83734
33	2931	83285
34	3019	83244
35	3122	83604
36	3213	83631
37	3298	83508
38	3398	83745
39	3483	83597
40	3569	83483
41	3649	83247
42	3738	83204
43	3823	83080
44	3908	82955
45	4016	83297
46	4127	83687
47	4231	83922
48	4336	84166
49	4463	84804
50	4559	84848
51	4649	84757
52	4749	84860
53	4857	85097
54	4985	85661
55	5082	85680
56	5176	85640
57	5217	84735
58	5301	84546
59	5400	84601
60	5445	83823
61	5537	83776
62	5625	83673
63	5724	83718
64	5822	83753
65	5925	83849
66	6036	84060
67	6138	84128
68	6239	84186
69	6355	84436
70	6447	84357
71	6549	84418
72	6658	84557
73	6752	84492
74	6861	84629
75	6962	84649
76	7074	84807
77	7210	85232
78	7305	85169
79	7390	84989
80	7469	84746
81	7556	84595
82	7667	84712
83	7769	84726
84	7877	84794
85	8002	85047
86	8107	85085
87	8217	85159
88	8321	85174
89	8432	85263
90	8540	85315
91	8659	85470
92	8774	85573
93	8880	85597
94	8989	85635
95	9097	85667
96	9194	85597
97	9300	85601
98	9441	85927
99	9570	86130
100	9679	86155
101	9777	86079
102	9891	86142
103	9997	86134
104	10116	86229
105	10220	86202
106	10318	86117
107	10428	86134
108	10544	86196
109	10661	86261
110	10775	86299
111	10879	86261
112	10993	86293
113	11110	86346
114	11213	86295
115	11327	86327
116	11442	86359
117	11552	86350
118	11662	86338
119	11786	86433
120	11895	86410
121	11996	86338
122	12100	86280
123	12213	86283
124	12328	86299
125	12438	86277
126	12552	86287
127	12668	86301
128	12794	86384
129	12901	86339
130	13018	86361
131	13127	86320
132	13232	86260
133	13346	86255
134	13453	86204
135	13569	86207
136	13688	86229
137	13796	86179
138	13898	86090
139	13992	85954
140	14114	85986
141	14210	85862
142	14313	85781
143	14402	85613
144	14515	85592
145	14629	85572
146	14731	85479
147	14834	85396
148	14948	85379
149	15072	85411
150	15182	85365
151	15301	85367
152	15404	85278
153	15519	85254
154	15633	85230
155	15746	85194
156	15860	85159
157	15971	85111
158	16073	85015
159	16171	84901
160	16266	84766
161	16387	84771
162	16486	84658
163	16584	84540
164	16694	84486
165	16793	84372
166	16878	84188
167	16979	84087
168	17068	83930
169	17168	83820
170	17269	83722
171	17365	83599
172	17464	83487
173	17562	83371
174	17682	83360
175	17788	83280
176	17927	83359
177	18056	83386
178	18169	83334
179	18273	83247
180	18382	83176
181	18478	83053
182	18605	83064
183	18698	82925
184	18788	82772
185	18873	82598
186	18968	82468
187	19072	82378
188	19155	82198
189	19238	82017
190	19334	81891
191	19436	81795
192	19545	81725
193	19663	81693
194	19764	81592
195	19873	81521
196	19971	81408
197	20075	81316
198	20199	81307
199	20324	81296
200	20442	81260
201	20559	81220
202	20676	81176
203	20780	81084
204	20896	81038
205	21002	80952
206	21109	80869
207	21226	80822
208	21325	80711
209	21435	80637
210	21544	80563
211	21659	80509
212	21777	80464
213	21886	80387
214	21994	80306
215	22098	80208
216	22213	80154
217	22318	80058
218	22434	80007
219	22542	79923
220	22652	79848
221	22769	79796
222	22887	79746
223	23009	79713
224	23139	79703
225	23241	79595
226	23346	79502
227	23445	79385
228	23552	79295
229	23651	79182
230	23754	79079
231	23868	79014
232	23970	78907
233	24073	78803
234	24184	78727
235	24285	78620
236	24395	78538
237	24508	78468
238	24618	78386
239	24726	78301
240	24828	78195
241	24940	78117
242	25045	78021
243	25153	77935
244	25252	77819
245	25363	77738
246	25496	77728
247	25606	77646
248	25707	77534
249	25828	77485
250	25935	77392
251	26058	77349
252	26172	77275
253	26270	77156
254	26363	77022
255	26479	76955
256	26581	76849
257	26692	76765
258	26810	76704
259	26916	76609
260	27026	76524
261	27129	76418
262	27242	76340
263	27341	76224
264	27448	76129
265	27554	76032
266	27661	75940
267	27783	75885
268	27882	75768
269	27981	75654
270	28080	75537
